gene	ACH-001339	ACH-000765	ACH-000008	ACH-000465	ACH-000550	ACH-000322	ACH-002508	ACH-000632	ACH-000441	ACH-000805	ACH-001328	ACH-001521	ACH-000580	ACH-001568	ACH-002458	ACH-001569	ACH-000814	ACH-001973	ACH-002005	ACH-002003	ACH-002461	ACH-000799	ACH-001523	ACH-001551	ACH-002511	ACH-002460	ACH-000614	ACH-000014	ACH-000348	ACH-001566	ACH-000572	ACH-001239	ACH-001970	ACH-000425	ACH-000404	ACH-000882	ACH-000458	ACH-002084	ACH-001522	ACH-000650	ACH-001563	ACH-002510	ACH-000822	ACH-000812	ACH-002509	ACH-001524	ACH-001982	ACH-000730	ACH-001567	ACH-000661	ACH-001190	ACH-002459	ACH-001645	ACH-000304	ACH-000931	ACH-000810	ACH-002001	ACH-001550	ACH-000450	ACH-000423	ACH-001552	ACH-000915	ACH-000881	ACH-000899	ACH-000884	ACH-000477	ACH-000401	ACH-000615	ACH-000801	ACH-002512	ACH-002004	ACH-000827	ACH-000987	ACH-000274	ACH-000644	ACH-000219	ACH-000582	ACH-001570	ACH-001442	ACH-000640	ACH-002002	ACH-000579	ACH-000788	ACH-000968	ACH-000750
RHBDD2	37.75	31.39	39.25	31.23	59.89	24.63	29.29	23.23	98.75	92.62	18.28	69.18	78.2	60.48	31.33	44.97	54.64	41.65	45.98	29.47	20.9	102.88	105.74	30.14	11.57	37.25	26.61	53.04	41.04	31.63	68.13	35.1	37.22	42.94	89.44	51.29	28.81	54.07	50.62	37.49	31.3	67.66	25.39	34	61.29	54.53	36.74	54.27	85.17	18.94	29.99	30.13	14.42	110.05	79.03	54.79	39.14	42.95	46.41	57.18	31.2	36.05	30.94	31.39	21.07	85.1	34.39	14.7	37.35	29.37	54.59	59.86	31.08	47.11	69.95	32.26	35.76	35.94	35.48	131.8	31.38	45.17	19.71	39.77	19.35
SOX8	11.8	10.51	0.02	7.5	0.04	15.46	0.02	0.4	0.7	42.22	0	0.84	28.15	4.65	0.85	11.42	34.82	0.56	5.28	0.27	0.03	7.52	0.02	0.55	5.94	3.16	1.83	0.14	0.01	5.36	3.17	15.4	6.96	5.21	1.82	0.43	0	0.14	8.16	0.16	0.04	7.02	0.32	0.11	7.01	0	8.78	3.32	109.1	41.54	4.57	0.16	0.01	40.43	21.93	1.41	3.18	0	1.88	1.71	0.03	0.54	0.19	17.56	0.01	23.4	8.21	0.67	4.72	0.04	0.95	0.79	23.09	0.01	29.82	2.31	0.18	0.26	0	38.4	0	6.95	8.58	1.4	0
IBTK	27.25	20.81	13.4	9.21	13.21	20.23	13.44	11.96	9.01	16.02	26.96	22.02	23.68	26.11	19.41	16.53	26.02	16.64	23.44	24.51	8.32	12.05	17.06	9.44	22.1	20.43	15.57	15.5	23.79	13.2	16.81	27.91	21.06	30.5	27.79	23	23.67	15.28	33.37	17.02	20.43	16.86	21.3	19.07	17.48	14.52	15.65	17.17	26.36	24.19	28.19	15.33	37.4	27.71	38.09	11.96	18.85	26.49	27.54	15.84	21.05	17.3	17.47	22.21	15.23	18.78	17.54	18.36	14.24	25.83	34.05	25.81	23.96	9.31	20.11	17.01	9.99	27.88	13.56	24.4	16.97	25.35	24.26	5.8	18.98
ZNF195	12.58	15.05	13.42	14.38	8.5	18.64	6.59	12.12	19.34	22.3	17.05	11.94	28.22	18.8	12.06	12.26	16.63	12.83	12.54	11.73	11.56	7.78	13.33	14.41	16.48	10.86	15.71	19.86	13.02	8.65	23.79	21.2	31.26	17.85	14	15.15	28.03	18.41	13.15	11.85	13.17	20.32	11.79	23.58	34.06	11.86	10.91	16.96	10.4	14.19	29.16	13.01	22.28	18.73	45.2	12.22	12.11	19.23	18.44	22.83	13.98	9.27	14.09	31.64	18.96	11.2	11.12	17.16	10.51	15.4	22.04	13.25	15.83	13.69	24.62	13.73	14.45	20.42	10.4	9.89	13.86	12.35	14.56	7.16	17.44
MYCBP2	15.56	23.61	32.06	22.3	23.8	23.48	15.94	21.25	36.77	29.06	20.75	31.4	37.09	3.92	18.4	15.25	42.89	45.12	32.67	15.2	24.15	16.62	33.98	12.15	22.32	16.8	28.09	34.04	35.53	12.67	29.27	36.41	32.27	14.23	33.94	51.18	26.99	27.98	39.87	47.31	16.61	27.46	17.7	40.49	27.46	28.68	13.72	39.35	27.44	40.66	13.51	16.61	10.42	29.01	15.17	20.4	12.75	10.57	29.03	50.9	32.89	30.22	19.23	32.88	18.37	22.18	21.76	20.64	26.01	25.71	14.38	23.27	47.17	32.23	35.88	20.72	29.25	27.01	13.08	34.36	13.7	57.78	33.8	30.69	32.5
FBXL3	24.85	17.63	13.94	12.88	13.79	15.5	15.9	12.07	14.65	10.87	16.81	24.44	15.17	2.57	13.11	9.38	17.67	16.95	18.26	20.63	12.25	10.85	31.08	7.92	31.21	14.4	16.49	18.64	17.28	10.81	11.69	28.2	9.83	7.23	10.46	12.06	18.55	21.23	21.68	19.1	26.04	10.83	17.37	21.42	25.12	30.35	8.25	12.17	31.02	27.32	10.21	11.5	16.66	21.87	14.72	13.26	18.01	15.3	10.6	12.7	17.85	15.08	9.45	20.78	14.93	13.51	16.93	9.16	10.72	17.45	8.78	18.12	13.51	10.4	17.1	14.55	14.48	14.65	15.37	15.73	11.64	17.4	22.75	13.23	20.04
ITGAL	0	0.19	0.13	0.14	0.0800000000000001	0.01	0	0.0700000000000001	0.17	0.05	0	0.16	0.14	0.01	0	0.01	0.0600000000000001	0	0.03	0	0.1	0.1	0.04	0	0	0.0900000000000001	0.01	0	0.02	0	0	0.13	0	0.12	0.0600000000000001	0.11	0.16	0	0.01	0.1	0	0	0.14	0.14	0.3	0.1	0.43	0.16	0	0.04	0	0.01	0	0.0800000000000001	0.11	0.04	0	0.0900000000000001	0.12	0.0600000000000001	0.03	0.25	0.1	0.18	0.2	0.0600000000000001	0.14	0.28	0.05	0	0	0.12	0.13	0.0600000000000001	0.14	0.0600000000000001	0.0600000000000001	0.04	0.03	0.1	0	0.21	0.1	0.0800000000000001	0.05
PDK2	7.34	25.74	9.86	44.66	39.61	7.97	12.8	15.21	13.43	7.61	10.59	12.27	9.48	11.73	10.55	10.52	11.34	6.43	10.22	12.78	15.2	79.04	12.52	9.92	33.23	14.81	10.12	26.56	12.98	15.83	13.98	15.2	16.62	0.68	13.77	50.05	18.79	18.12	16.5	29.32	11.24	9.28	22.32	10.96	25.83	21.72	5.78	6.67	6.96	11.34	7.04	10.02	14	13.88	0.85	14.39	9.18	20.8	7.7	13.44	12.26	16.59	27.01	5.24	19.72	31.75	9.14	10.81	22.64	23.95	0	11.59	27.56	35.51	25.05	13.36	22.66	15.82	12.95	15.55	6.19	9.82	7.7	62.76	5.27
ITGA3	104	79.26	71.74	16	320.85	176.32	103.24	192.24	131.86	2.55	191.79	169.85	225.85	36.29	558.4	90.24	280.98	44.36	24.85	104.27	667.02	1034.9	68.04	79.73	33.23	459.78	106.09	303.15	283.67	8.21	5.77	42.4	9.88	34.33	14.31	65.24	566.24	41.19	8.11	4.96	461.54	43.91	312.78	11.85	205.7	31.82	46.5	20.01	216.12	278.17	53.8	1165.5	48.53	288.86	0.2	89.37	146.85	330.92	4.06	6.65	141.94	9.31	261.54	63.12	57.45	168.02	254.52	21.35	18.71	24.27	3.9	288.5	61.86	49.78	321.66	114.21	40.72	46.71	402.46	417.42	335.31	24.42	136.16	193.44	294.79
ZFX	5.5	8.86	11.51	9.63	10.89	5.37	5.25	11.37	13.03	7.55	5.09	12.28	8.6	3.14	4.77	3.69	14.97	5.1	11.31	6.61	3.29	5.36	11.84	8.13	15.55	5.92	7.35	11.53	9.83	3.72	9.95	9.61	7.89	10.87	7.24	7.91	20.09	14.06	8.42	10.88	6.16	3.49	7.73	21.93	12.61	13.86	4.99	7.59	3.88	9.54	6.34	5.59	3.9	12.08	13.52	8.23	6.17	11.85	7.54	7.97	15.02	7.35	10.3	13.31	8.16	8.88	7	8.53	9.24	8.67	6.01	6.39	11.12	9.8	14.5	9.63	7.48	4.9	5.89	12.75	8.92	7.87	7.91	5.38	3.96
LAMP2	290.37	241.28	214.03	103.47	240.21	121.76	194.1	337.71	154.11	137.76	45.23	82.59	216.45	56.72	145.9	137.43	298.97	216.33	204.51	78.29	67.77	72.68	219.02	61.94	352.71	168.34	118.39	243.74	92.75	154.79	295	166.19	82.16	101.74	276.07	113.62	124.53	194.46	296.22	206.55	120.26	133.11	233.09	474.6	103	147.74	126.51	195.59	57.99	224.68	379.72	139.26	185.38	324.29	178.31	169.3	44.14	139.5	153.57	175.11	97.02	105.06	126.79	210.19	194.02	185.04	166.2	268.76	177.18	184.31	230.11	198.65	173.1	334.51	264.56	45.6	137.77	134.07	103.09	289.24	67.76	159.14	125.7	129.13	37.92
ITGA2B	0.21	0.38	0.16	1.34	1.02	0.3	0.15	1.79	0.0600000000000001	0.57	0.19	0.47	0.24	0.0900000000000001	0.0800000000000001	0.4	0.22	0.02	0.03	0.13	0.15	4.05	0.26	2.19	1.65	0.12	0.22	0.89	0.79	0.2	0.75	0.8	0.5	0.32	0.26	0.27	0.21	0.11	0.35	0.24	0.42	0.19	0.26	0.26	4.91	0.27	0.03	0.41	0.13	1.1	1.03	0.0600000000000001	0.01	0.84	0.66	0.25	0.03	0.2	0.0900000000000001	0.19	0.0800000000000001	0.55	1.93	0.12	0.67	0.68	0.27	0.19	6.16	0.31	0.1	1.99	0.3	0.33	0.24	0.25	0.0900000000000001	1.38	0.22	0.34	0.04	0.28	0.21	0.81	0.18
ASB4	0.05	0	0.02	0.01	0	0.0600000000000001	0	0.34	1.59	0.15	0.03	0.33	0.03	0.0600000000000001	0.02	0.04	0.11	0.05	64.66	0	0	0.0600000000000001	0	0	0	0.02	0.46	0.1	0.01	1.56	14.25	0.11	0.69	37.19	64.84	0.04	0	14.86	0.13	23.8	0	0	0.04	47.77	0.01	0.14	0.5	51.38	0.01	0.38	0.04	0.02	14.1	0	0.17	0.18	0.01	0.03	0.43	0.23	0.03	0.05	0.12	0.1	0	0.42	0.01	0.01	0.25	7.03	26	0.02	0.01	0	0.0700000000000001	0.01	17.44	0.59	0	0.02	0	0.58	0.36	0.18	0
GDE1	33.78	25.82	28.7	38.74	45.39	17.86	28.96	34.46	47.24	34.77	20.79	23.96	48.06	40.52	16.97	26.2	49.23	40.33	38.78	40.63	41.86	41.82	58.36	17.17	59.7	26.01	45.64	38.81	39.49	47.43	41.36	35.41	49.08	34.33	42.55	32.22	34.25	63.24	62.49	47.57	43.82	56.51	54.61	61.25	44.42	108.97	35.99	25.98	37.96	35.51	21.3	20.49	15.32	47.56	51.3	30.92	27.93	39.9	40.94	49.83	40.95	23.41	30.69	44.36	41.06	56.88	34.2	43.04	29.88	32.38	49.36	20.16	42.74	52.48	45.23	27.7	28.32	52.18	37.28	76.89	36.7	42.22	25.51	37.47	24.09
REX1BD	5.93	32.17	65.29	46.38	65.61	42.17	4.05	42.4	50.04	81.09	2.86	14.82	34.6	13.87	7.3	12.3	69.5	2.76	60.79	25.11	9.74	63.31	6.43	5.01	7.58	6.44	53.1	66.81	46.34	28.23	37.71	52.73	4.04	63.68	66.46	40.99	17.54	5.87	4.72	34.61	6.24	4.47	60.35	79.08	16.98	10.17	2.63	29.12	7.4	38.6	17.49	3.19	3.11	39.62	4.83	36.67	23.45	5.01	41.18	30.94	1.26	64.48	29.16	36.58	41.52	51.32	34.31	59.01	67.53	9	10.03	41.08	53.38	58.17	102.22	57.68	61.1	10.42	21.38	61.76	33.9	81.59	39.21	54.32	34.8
CRLF1	1.41	19.13	10.57	4.26	38.91	21.61	1	8.82	7.87	18.04	0.96	6.08	2.3	2.61	48	1.59	6.37	0.78	3.25	7.26	1.69	28.2	0.71	51.92	6.66	22.38	2.15	11.1	3.67	3.22	6.5	3.48	4.11	5.76	7.24	6.61	1.81	2.7	2.92	5.65	1.3	0.7	3.15	4.32	240.68	1.02	1.51	4.9	1.74	2.07	13.6	22.32	1.16	4.74	5.52	8.52	67.54	1.45	5.16	18	2.4	8.44	5.45	5.55	3.9	3.7	4.55	7.89	4.65	3.48	1.59	5.66	10.48	4.2	6.98	13.9	7.93	2.63	1.94	2.41	1.6	11.81	9.97	4.15	3.32
OSBPL7	2.46	12.96	3.72	16.2	4.35	5.57	3.8	3.59	8.26	5.18	7.64	2.02	8.86	2.4	5.36	2.94	6.77	2.52	2.49	3.73	4.71	6.74	4.25	3.5	3.33	3.56	5.37	9.85	9.34	0.87	2.33	7.24	2.62	5.37	5.56	9.37	1.74	2.16	4.33	2.54	1.32	2.88	10.44	3.99	5.2	11.22	2.28	0.23	2.34	4.26	4.2	6.86	4.46	8.37	4.94	3.84	2.61	3.19	4.11	9.06	2.39	3.31	6.8	1.41	11.21	3.74	6.15000000000001	1.69	5.78	0.62	3.62	2.33	6.49	7.35	6.65	7.73	5.66	3.43	1.79	9.37	4.33	13.99	11.45	6.47	7.86
TMEM98	74.88	81.8	39.41	239.95	57.79	98.26	0	64.52	103.45	112.86	4.19	1.58	54.55	17.39	26.36	72.36	65.59	113.41	68.44	31.31	10.27	76.59	9.35	5.84	93.06	38.62	86.17	10.41	35.2	58.06	163.15	75.81	139.22	19.22	56.95	53.74	0.35	141.97	130.67	159.71	21.1	132.35	2.61	93.2799999999999	96.05	1.31	93.52	105.26	116.28	164.34	31.41	7.91	58.99	14.33	103.32	97.69	27.54	64.5	226.49	113.05	31.41	75.68	33.63	152.15	17.74	224.52	70.67	98.74	145.73	104.36	0.04	43.09	32.44	83.88	136.68	50.67	188.47	137.7	13.23	18.82	18.89	127.77	17.3	124.93	0.0700000000000001
YBX2	0.4	0.34	0.11	0.31	0.35	0.47	0	2.28	0.46	3.81	0.04	0.01	0.41	0.66	0.34	0.22	0.64	0	0.52	0	0.39	18.58	2.61	2.41	3.41	0.13	1.02	0.71	0.3	0.04	1.22	0.24	0.87	0.58	0.68	0.33	0.13	0.0600000000000001	1.77	0.19	0	0.3	0.12	1.03	2.73	5.62	0.67	0.94	1.81	0.16	0.62	0.1	0	0.45	0.2	0.12	0.12	0.63	0.21	0.14	0.0700000000000001	0.61	0.16	1.61	0.02	0.24	0.94	2.54	6.66	0.0600000000000001	1.19	2.49	0.0600000000000001	0.15	0.21	0.05	0.52	0.31	0.04	0.57	0	0.0800000000000001	1.08	0.0700000000000001	0.01
KRT33A	0	0	0	0	0	0	0	0	0	0	0.17	0.15	0	0	0	0	0	0	0	0	0.01	0	0.31	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0.05
MAP3K14	5.48	18.96	4.65	11.09	33.2	7.63	22.53	7.58	4.27	1.91	3.48	6.72	3.74	1.54	4.03	5.21	4.8	1.94	2.49	4.25	4.74	7.09	11.33	8.04	21.59	4.52	2.82	6	17.06	1.33	3.02	3.33	2.67	3.6	2.75	3.94	4.78	4.38	2.53	3.93	13.77	2.11	5.73	2.29	5.49	11.66	2.01	3.61	5.82	8.98	6.69	7.19	1.97	8.61	1.64	5.47	3.89	35.75	2.19	3.88	5.65	2.17	7.28	6.82	6.56	3.98	10.4	3.03	3.35	3.32	2.65	11.68	4.08	17.16	2.53	6.83	7.03	1.58	13.05	15.2	3.98	6.15000000000001	9.56	8.16	9.11
ABCC8	0.59	0.22	0.04	0.01	0.1	0.29	0	0.16	0.02	0	0	0	0	0.03	0.26	0.04	0	0.22	0.0900000000000001	0.04	0	0.7	0	0.8	0.69	0.54	0	0	0	0	0.02	0.0700000000000001	0	0.29	0.1	0.0800000000000001	0.15	0	0.0600000000000001	0.01	0	0	0.01	1.44	0	0	0.03	0.03	0.52	0.0600000000000001	0.23	0.12	0	0.05	0	0.1	1.25	0.01	0	0.1	0.11	0	0	0.21	0	0.03	0.62	0.0900000000000001	0.0800000000000001	0	0	0.17	0	0	0.17	0.04	0.02	0	0	0.17	0	0	0	0.05	0.01
CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0
TMEM132A	13.17	28.67	44.25	3.57	58.78	37.16	14.43	44.51	14.42	28.61	11.48	14.19	9.75	32.32	70.83	10.42	30.33	0.13	2.67	23.56	30.72	36.49	55.36	32.66	45.31	89.58	18.56	100.28	61.91	1.8	18.53	23.1	7.76	9.43	29.15	14.67	110.95	0.36	1.97	5.93	13.6	5.95	19.96	15.37	83.99	16.22	1.53	16.96	21.41	15.09	22.68	61.51	16.17	31.78	53.06	11.38	16.49	42.61	5.24	26.55	23.69	0.82	8.4	33.18	25.39	16.38	15.99	6.54	6.77	6.5	4.5	83.91	23.21	16.04	46.77	17.51	41.5	3.34	50.84	46.27	39.81	4.03	31.94	75.44	39.21
AP2B1	48.97	46.94	53.61	109.36	88.2	56.35	54.23	69.6	78.93	45.41	48.52	67.2	76	23.36	52.45	35.34	64.66	82.74	73.84	54.23	84.92	65.67	52.4	101.25	72.43	73.94	89.91	66.35	82.65	26.89	90.75	79.39	80.58	42.42	65.77	40.36	146.08	70.4500000000001	56.85	89.41	64.21	60.84	69.91	51.02	79.7100000000001	55.15	47	51.11	37.11	105.46	66.36	66.05	93.71	67.15	72.22	83.47	66.51	205.63	38.49	73.57	85.99	58.19	48.35	66.69	62.67	51.24	52.62	44.98	74.29	67.23	68.19	57.03	30.21	67.96	44.01	74.73	46.12	37.24	56.05	95.67	143.87	62.35	44.47	112.99	109.5
TAC1	2.62	0	1.3	0	0	23.57	0	0.04	0	0	0	0	0	0.03	6.44	0.31	0.33	1.71	0	20.81	0	0	0.02	2.55	0.17	7.98	0	11.35	1.02	0.0600000000000001	0.0900000000000001	0	0.01	0	0.34	0	0	0	0	0	0.01	0	0.2	0	12.42	0	0.02	1.33	0.0900000000000001	0.0800000000000001	0.13	0.23	25.67	0.34	0.01	0	11.9	0.03	0	0	0.66	276.11	0	0	0	0.34	0.26	0	0.05	0	0	18.2	0	0	22.54	6.61	0.04	0.02	0	0.03	12.69	0	0	0	0
ZNF263	12.47	19.4	18.17	30.41	27.95	38.04	20.06	19.32	26.15	23.51	15.39	15.52	30.37	10.43	24.91	12.15	21.34	29.71	16.53	22.22	12.52	30.37	22.98	17.39	29	28.75	31.95	34.23	23.78	11.69	28.95	13.48	33.23	15.94	24.56	13.93	52.67	18.8	29.24	40.2	14.39	20.2	24.85	25.56	31.88	26.98	24.04	20.55	14.54	16.03	37.19	27.39	21.6	21.77	30.55	22.06	17.07	22.19	29.27	29.91	22.26	14.23	16.89	39	26.73	45.77	17.88	21.93	20.91	24.64	23.15	23.09	26.77	29.82	37.46	25.81	23.31	19.22	7.91	27.41	20.05	25.01	18.49	21.01	25.69
CX3CL1	7.03	2.99	1.66	8.22	6.38	3.79	0.04	6.29	4.08	4.81	0	0.01	3.59	0.39	3.65	2.43	4.55	1.14	0.12	1.63	0	15.43	2.6	0.0700000000000001	4.2	4.22	12.25	4.11	1.66	1.36	4.41	6.03	5.86	9.3	8.41	2.3	4.21	12.03	6.93	4.57	0.01	7.34	3.52	3.92	6.75	0.04	9.75	5.42	11.55	3.97	6.39	1.38	4.09	4.73	2.85	0.27	1.6	1.9	4.8	0.03	0	2.86	2.23	6.5	0.12	15.33	13.46	6.37	3.56	2.99	10.98	0.0700000000000001	1.94	0.17	10.27	0.71	0.13	0.04	28.95	19.84	0	6.28	3.44	11.16	0
SPATA20	22.77	42.59	24.75	90	48.23	37.57	24.51	28.21	70.14	17.94	19.94	40.47	56.2400000000001	21.87	48.79	22.79	24.06	5.79	64	31.13	52.89	90.05	18.81	37.45	16.59	62.54	70.94	42.65	24.94	8.17	36.1	44.83	40.14	67.25	16.67	32.98	29.99	52.44	29.62	13.45	25.49	32.52	21.17	73.17	54.28	26.33	52.7	34.19	15.65	27.49	15.86	76.18	37.05	31.48	34.57	32.41	32.68	25.62	33.29	57.88	20.38	27.7	44.52	41.62	57.17	49.06	35.82	44.54	56.69	35.2	64.2	44.43	52.13	26.77	48.08	29.26	63.5	77.57	26.12	38.65	41.09	68.85	33.44	54.02	25.93
CACNA1G	0.03	0.17	0.0600000000000001	0	2.69	0.03	0.03	0.03	0.05	0	0	0.16	0.0600000000000001	0.02	0.25	0.03	0.02	0	0.01	0	0.18	0.48	0	1.02	0.43	0.5	0	0.11	0.54	0	0.01	0.0700000000000001	0.01	0.0800000000000001	0.02	0.02	0.02	0.03	0.03	0.02	0.0600000000000001	0	0.03	0.0600000000000001	0.17	0.02	0	0.02	0.05	0.01	0.0700000000000001	0.89	0.05	0.8	0.04	0.0600000000000001	0.03	0.23	0	0.3	0.16	0	0.0900000000000001	0.04	0.17	0.02	0.05	0.04	0.0800000000000001	0.01	0.04	1.28	0	0.0900000000000001	0.01	0.03	0.05	0.01	0.0800000000000001	0.4	0.02	0.02	0.0800000000000001	0.01	0.0900000000000001
TNFRSF12A	83.39	278.12	172.63	20.37	318.47	446.93	164.23	189.36	201.08	26.12	195.9	223.23	242.42	137.1	132.33	109.63	389.65	115.18	74.42	171.67	238.99	413.82	117.85	61.92	200.3	148.59	161.77	201.04	149.83	44.57	50.5	55.06	7.5	163.69	93.8	110.66	732.22	81.06	22.2	36.36	235.88	24.71	246.71	51.09	69.89	76.73	65.13	36.07	248.63	118.24	169.7	191.79	49.75	368.6	5.72	89.07	211.35	134.62	84.58	79.16	174.66	43.16	319.33	130.16	128.85	405.61	94.08	106.1	26.36	48.24	50.1	567.12	145.42	238.19	244.91	156.52	71.5100000000001	78.37	167.31	305.75	220.15	64.65	210.74	93.79	183.88
DLX6	2.97	1.73	2.06	2.52	0.89	1.08	0.32	0.51	0.53	2.23	0	0.27	1.78	0.19	0.16	0.05	1.65	0.03	0.49	0.73	1.14	4.84	0.03	1.93	1.44	0.38	0.48	2.07	0.04	0.0800000000000001	2.4	0.1	4.13	1.24	0.77	0.63	0.02	0.4	2.41	0.53	0	0.4	0.54	1.19	3.32	1	0.15	1.78	0.41	1.4	0.37	0.02	0.94	1.88	4.48	0.0800000000000001	0.16	0.54	1.12	1.52	2.89	1.16	1.13	0.35	1.37	0.25	4.63	0.72	1.96	0.61	0.84	1.73	0.4	6.76	0.26	1.05	0.51	0.83	0.25	2.1	0.0600000000000001	1.36	3.2	0.86	0.34
MAP3K9	0.49	0.18	2.96	1.69	2	4.75	0	6.81	3.98	0.64	3.73	7.16	3.08	0.58	5.38	1.2	2.04	0.0800000000000001	1.44	1.4	0.72	2.17	3.14	1.47	1.39	3.73	1.19	2.12	0.49	0.32	1.08	2.39	1.09	2.27	1.27	1.53	19.85	1.99	1.94	1.07	0.33	0.31	0.66	2.59	0.29	4.01	2.25	2.04	0.11	3.03	1.9	13.03	0.74	0.45	2.87	1.96	0.62	2.35	3.52	1.09	3.05	2.03	5.68	5.83	1.4	4.14	0.46	4.96	2.47	0.96	1.04	0.57	1.52	1.12	0.89	2.56	1.31	1.6	4.75	0.48	1.46	2.52	0.23	4.67	0.67
RALA	49.48	33.41	33.46	20.71	29.19	25.53	39.95	27.93	15.53	24.76	31.85	37.43	25.1	19.16	20.58	30.23	34.35	25.27	37.03	34.4	21.54	31.24	51.43	61.88	103.8	29.43	27.18	33.63	46.11	35.13	73.78	42.37	45.71	33.81	38.58	38.35	36.05	37.37	40.63	41.63	33.37	41.58	23.37	26.71	49.83	18.94	36.08	26.17	43.47	31.32	48.46	15.12	27.29	55.06	43.58	20.16	36.13	45.15	30.35	42.36	40.62	20.98	36.65	38.81	27.89	18.61	39.16	14.75	26.16	33.47	64.09	73.57	20.87	79.9	20.95	28.46	25.84	40.12	27.61	47.81	47.73	20.26	29.57	11.84	24.21
BAIAP2L1	10.89	8.65	11.78	20.82	11.16	13.57	3.96	6.56	18.73	33.76	16.53	25.88	83.21	8.04	8.59	36.35	17.49	3.19	12.43	12.56	24.66	50.83	89.19	20.57	1.68	8.65	38.7	7.14	5.44	26.83	36.76	8.92	10.85	13.88	9.55	6.5	59.68	36.72	21.25	10.81	14.01	10.6	6.61	14.41	5.4	27.85	23.04	15.3	8.71	20.93	19.15	8.12	7.72	3.05	14.06	11.48	18.53	32.31	40.12	8.16	25.9	20.25	15.5	29.18	21.92	42.56	9.96	39.85	22.78	17.45	36.72	36.94	17.82	6.06	13.81	12.48	20.3	26.52	21.6	13.19	16.9	18.1	14.14	15.96	2.07
KDM7A	1.35	3.61	3.71	2.39	0.72	1.25	0.49	0.98	4.29	2.21	0.85	1.57	2.84	1.3	1.69	1.45	1.33	2.6	3.14	5.39	1.04	2.16	2.07	1.75	6.58	3.05	5.1	4.2	1.86	0.7	2.59	2.77	10.29	2.07	3.35	1.25	13.67	1.58	3.03	0.65	0.24	1.49	2.02	3.15	2.49	2.51	2.67	1.52	1.62	1.47	1.43	1.49	2.35	4.12	4.71	0.76	6.5	3.11	1.62	2.06	2.61	0.71	1.03	2.98	1.24	1.88	1.26	1.15	1.32	1.06	5.37	2.82	1.04	1.76	4.76	2.34	1.88	0.96	1.64	3.35	5.04	0.59	1.29	0.73	3.13
ETV1	30.33	25.29	18.3	22.87	46.35	17.15	2.41	15.2	17.32	14.19	0.05	0.01	57.74	5.48	36.37	18.52	33.2	19.2	14.25	38.67	33.87	29.77	0.0900000000000001	4.51	48.86	52.44	46.43	19	74.78	11.92	23.22	44.23	19.3	29.44	13.05	8.73	0.04	25.96	30.78	22.5	20.68	7.93	32.71	23.14	8.1	0.01	30.52	23.9	43.85	29.79	19.54	64.64	28.74	86.43	29.34	16.41	34.24	27.62	6.33	19.79	19.31	36.47	24.9	28.21	49.38	23.1	38.19	18.53	25.62	13.2	52.7	30.02	18.69	61.03	41.15	21.83	11.08	28.33	0.23	69.3	10.98	15.74	19.97	6.54	6.64
AGK	52.18	87.61	84.84	40.31	21.31	50.37	13.88	42.89	55.23	64.39	15.58	29.36	69.33	23.75	25.22	28.96	46.11	40.79	48.53	49.98	27.66	45.04	11.87	18.81	30.34	33.36	39.62	78.35	21.96	33.3	59.86	65.38	59.07	51.51	46	80.29	21.66	40.54	35.5	36.38	21.55	41.89	86.32	70	47.28	17.74	54.95	37.3	55.27	51.76	52.46	17.49	69.03	51.03	85.21	28.28	45.15	31.47	48.14	43.92	43.69	36.44	73.14	67.39	41.97	67.23	32.41	24.61	30.61	41.1	75.61	75.82	25.6	17.79	49.54	37.32	48.48	35.39	19.2	87.74	46.63	39.01	45.5	28.51	21.89
ALDH3B1	3.18	6.75	5.35	0.86	14.15	11.57	33.48	5.95	2.36	6.15000000000001	12.94	2.39	7.83	1.22	19.77	4.97	4.17	2.05	3.36	5.45	10.04	8.28	10.88	11.13	17.95	13.59	5.36	11.41	37.12	2.83	2.69	8.69	0.64	4.16	9.62	5.69	12.76	2.49	0.83	3.4	7.57	0.49	7.43	4.53	9.54	14.19	7.04	3.78	8.37	18.64	3.97	40.17	3.48	10.9	4.53	13.82	7.15	12.61	2.34	6.61	11.95	8.34	6.82	7.54	29.87	11.36	6.25	2.71	5.55	9.42	4.98	11.18	15.5	12.81	2.7	8.84	5.16	3.08	3.58	13.46	19.62	3.36	11.6	53.88	6.68
