gene	ACH-001339	ACH-000765	ACH-000008	ACH-000465	ACH-000550	ACH-000322	ACH-002508	ACH-000632	ACH-000441	ACH-000805	ACH-001328	ACH-001521	ACH-000580	ACH-001568	ACH-002458	ACH-001569	ACH-000814	ACH-001973	ACH-002005	ACH-002003	ACH-002461	ACH-000799	ACH-001523	ACH-001551	ACH-002511	ACH-002460	ACH-000614	ACH-000014	ACH-000348	ACH-001566	ACH-000572	ACH-001239	ACH-001970	ACH-000425	ACH-000404	ACH-000882	ACH-000458	ACH-002084	ACH-001522	ACH-000650	ACH-001563	ACH-002510	ACH-000822	ACH-000812	ACH-002509	ACH-001524	ACH-001982	ACH-000730	ACH-001567	ACH-000661	ACH-001190	ACH-002459	ACH-001645	ACH-000304	ACH-000931	ACH-000810	ACH-002001	ACH-001550	ACH-000450	ACH-000423	ACH-001552	ACH-000915	ACH-000881	ACH-000899	ACH-000884	ACH-000477	ACH-000401	ACH-000615	ACH-000801	ACH-002512	ACH-002004	ACH-000827	ACH-000987	ACH-000274	ACH-000644	ACH-000219	ACH-000582	ACH-001570	ACH-001442	ACH-000640	ACH-002002	ACH-000579	ACH-000788	ACH-000968	ACH-000750
DIP2B	15.88	17.69	25.24	20.54	6.9	17.29	5.93	14.69	16.22	15.94	11.01	19.82	18.15	5.62	8.31	8.72	28.25	11.95	24.62	12.06	5.23	6.1	27.65	10.65	7.39	13.18	29.44	26.23	6.29	10.77	34.76	20.73	38.67	19.19	24.22	25.87	17.1	26.92	17.54	20.77	5.48	24.12	14.69	13.65	11.19	29.84	28.9	23.15	4.28	33.13	17.92	8.99	11.75	11.95	21.59	17.31	12.89	6.48	39.6	23.88	9.91	23.15	11.29	23.22	8.69	26.21	11.88	19.39	24.03	32.71	28.11	5.89	26.37	11.12	20.49	16.32	16.19	14.32	9.88	12.67	10.52	18.44	12.87	31.36	10.24
SMARCD1	71.56	84.22	99.42	51.08	33.89	106.11	39.9	75.91	96.51	55.63	15.74	52.67	107.37	30.22	41.51	27.72	94.35	117.19	108.92	64.45	25.36	78.02	34.99	46.64	27.29	43.19	152.06	86.66	42.51	33.53	81.69	67.56	95.24	84.99	74.15	94.2	158.19	82.04	102.82	49.42	29.02	70	83.61	40.48	104.5	46.95	134.02	94.07	68	113.4	56.03	41.89	66.58	53.47	139.12	96.8000000000001	55.01	10.94	109.86	66.67	47.13	87.47	75.08	91.77	57.21	89.7	73.86	50.97	65.5	88.4000000000001	74.01	33.18	110.48	74.53	66.09	121.99	70.74	41.65	36.28	62.72	50.03	94.82	106.54	98.04	72.06
KDM4A	19.35	32.53	21.77	15.54	21.32	18.01	24.48	18.8	21.42	17.43	13.28	11.1	36.6	7.25	14.07	13.83	17.68	34.47	35.9	19	15.26	13.51	23.77	19.53	21.23	15.14	37.86	23.9	26.89	9.54	15.57	17.88	38.31	14.95	21.97	19.29	33.95	22.58	33	20.9	8.49	16.97	26.15	27.19	19.6	22.68	24.67	13.66	7.22	19.32	12.27	15.29	15.55	33.69	44.59	23.01	16.09	29.57	16.21	16.14	16.1	15.46	16.78	17.97	12.25	14.14	19.88	17.95	13.55	9.22	33.65	16.23	16.98	22.81	22.94	19.74	14.74	9.75	12.95	24.59	19.05	18.08	18.6	14.23	19.11
NFYC	28.98	50.78	37.07	31.45	32.73	34.64	31.05	49.88	34.88	41.4	21.17	42.31	40.71	15.26	21.68	39.04	43.55	33.36	59.89	31.11	23.6	35.79	25.15	22.12	32.7	21.23	42.13	32.41	33.1	28.5	36.93	42.78	22.32	35.61	47.18	40.02	34.92	35.89	37.83	57.48	23.56	30.52	33.41	47.86	33.33	43.53	23.21	35.26	19	28.5	31.4	16.36	30.23	40.28	18.86	72.26	32.81	35.55	50.17	37.39	22.34	38.92	43.59	30.97	20.55	26.67	47.87	48.94	33.82	15.6	36.5	33.31	58.37	35.83	37.03	48.15	34.22	30.69	19.08	35.78	40.51	54.35	34.86	44.56	29.48
ZMYND12	1.33	1.61	0.54	0.12	0.33	0.2	0.05	0.33	1.03	2.16	0.24	0.11	2.41	1.77	0.53	4.42	0.66	3.17	0.52	0.29	3.17	0.67	0.03	0.37	2.27	0.37	2.84	1.58	1.33	2.41	0.38	5.55	2.26	0.26	0.11	0.29	0.13	1.04	1.94	0.75	0.61	2.78	12.4	3.54	2.21	0.02	3.81	0.35	0.65	0.21	1.97	0.22	0.27	2.18	0.28	0.88	1.09	0.47	0.84	2.68	0.58	3.16	0.28	3.99	0.11	0.42	0.75	1.41	1.85	1.09	1.82	0.45	0.44	0.51	0.24	0.0600000000000001	0.42	3.57	0	0.67	0.67	2.25	0.34	0.21	0.41
SLC9A3	0.56	2.41	1.63	205.22	0.3	2.37	0.23	1.11	1.99	9.85	0.5	4.47	1.74	0.29	2.09	0.36	1.9	0.38	0.6	0.0600000000000001	0.61	3.09	5.4	3.67	1.44	1.77	1.23	5.21	1.83	0.43	3.96	1.62	2.58	5.22	2.28	1.1	2.89	1.96	14.05	0.1	1.01	0.64	1.58	1.17	2.08	3.98	0.5	2.4	0.0900000000000001	2.08	0.88	2.36	0.36	2.64	43.65	1.45	0.05	1.09	0.39	1.26	1.71	1.09	1.82	3	0.72	1.66	1.07	0.79	1.08	0.05	4.47	1.62	1.97	12.06	6.53	0.11	1.71	0.36	1.22	3.19	0.03	1.65	2.84	1.86	0.7
NGEF	0.17	0.0800000000000001	2.23	0.05	35.47	5.4	0.52	10.4	0.03	0.15	9.15	1.42	0.16	0	13.13	0.03	0.35	0.13	0	0.35	0.46	13.64	2.6	3.61	23.36	11.41	0.0600000000000001	6.65	56.98	0.04	0.0700000000000001	0.41	0	0.45	0.01	0.53	2.54	0	0.02	0.02	0.12	0	0.87	0.16	10.54	2.9	0.01	0.13	3.03	0.12	0.45	8.98	0.01	10.01	0.12	0.16	4.05	0.68	0.05	0.02	0.48	0.01	0.27	0.22	8.55	0.01	0.17	0.12	0.1	0.1	0.04	0.16	0.18	1.93	0.53	2.46	0.04	0	2.04	1.09	0.41	0.0600000000000001	0.21	0.04	0.98
ASPM	20.75	28.6	18.16	11.47	25.91	19.81	8.94	30.09	11.26	29.09	11.26	22.31	32.95	5.7	17.78	14.91	21.79	11.68	12.38	16.36	16.79	20.65	6.3	21.61	29.75	13.46	15.37	13.52	17.87	12.5	24.41	54.59	4.22	22.04	14.97	16.24	9.09	13.15	4.69	23.5	38.53	1.12	13.29	20.53	6.26	2.44	12.07	13.55	27.19	47.86	25	18.28	14.72	38.29	31.71	18.79	19.52	23.96	12.53	14.56	39.4	20.15	15.66	29.84	25.52	15.19	23.14	18.26	19.65	27.25	9.22	23.57	20.64	19.34	10.9	38.13	14.93	14.42	22.06	21.75	17.61	19.06	33.12	1.08	18.3
CD84	0.05	0.1	0	0.02	0.03	0	0	0.03	0	0.02	0	0	0.01	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0800000000000001	0	0	0.03	0	0.02	0	0	0.03	0	0.01	0.01	0.01	0	0	0	0.01	0	0.01	0.03	0	0	0.04	0	0.03	0	0	0	0.14	0.0800000000000001	0	0.01	0.0600000000000001	0	0.03	0.01	0	0	0	0	0.03	0	0	0.0700000000000001	0	0	0	0	0.0600000000000001	0	0	0.01	0.01	0
ELOVL1	90.19	118.5	145.51	84.48	151.92	91.16	139.61	122.78	153.73	136.69	103.83	97.78	148.37	23.54	80.5	90.4	167.86	132.13	120.27	67.82	234.66	90.66	68.3	48.6	62.76	88.14	69.36	113.52	107.54	98.12	121.37	94.25	73.06	117.32	95.05	121.5	109.93	117.51	160.48	149.13	140.11	55.57	154.37	88.52	68.56	129.79	134.88	83.71	61.04	109.4	116.23	112.36	74.76	107.84	151.78	162.79	75.64	98.82	135.83	84.6800000000001	79.3	147.75	113.31	80.74	75.99	111.53	97.65	112.29	75.37	74.18	68.83	170.31	116.96	113.1	101.44	89.53	81.27	102.49	112.9	192.21	165.79	140.95	93.83	98.91	126.66
