ID	Cell_Line_Name	Disease_Stage
SRR8615465	NCI-H727	carcinoid-endocrine_tumour
SRR8615528	CAL-85-1	carcinoma
SRR8615532	CAMA-1	carcinoma
SRR8616007	Detroit_562	carcinoma
SRR8616022	SNU-81	carcinoma
SRR8616024	SNU-61	carcinoma
SRR8616025	SNU-601	carcinoma
SRR8616027	SNU-620	carcinoma
SRR8616031	SNU-719	carcinoma
SRR8616044	HT115	carcinoma
SRR8616045	HT-1197	carcinoma
SRR8616079	ChaGo-K-1	carcinoma
SRR8616127	HMC-1-8	carcinoma
SRR8616132	Hey-A8	carcinoma
SRR8616140	CL-14	carcinoma
SRR8616142	CL-40	carcinoma
SRR8616150	Panc_02.03	carcinoma
SRR8616169	22Rv1	carcinoma
SRR8616171	59M	carcinoma
SRR8616172	5637	carcinoma
SRR8616203	Hs_172.T	carcinoma
SRR8615241	Panc_02.13	carcinoma
SRR8615243	OAW28	carcinoma
SRR8615264	CAL-51	carcinoma
SRR8615270	CAL-120	carcinoma
SRR8615274	EC-GI-10	carcinoma
SRR8615291	EFE-184	carcinoma
SRR8615292	EFM-192A	carcinoma
SRR8615294	EN	carcinoma
SRR8615296	PK-1	carcinoma
SRR8615300	DU_145	carcinoma
SRR8615306	SNU-308	carcinoma
SRR8618306	YAPC	carcinoma
SRR8615307	SNU-283	carcinoma
SRR8615309	SNU-216	carcinoma
SRR8615313	SNU-324	carcinoma
SRR8615316	SNU-410	carcinoma
SRR8615317	SNU-407	carcinoma
SRR8615321	Hs_742.T	carcinoma
SRR8615322	Hs_746T	carcinoma
SRR8615342	NCC-StC-K140	carcinoma
SRR8615366	KE-39	carcinoma
SRR8615370	Panc_05.04	carcinoma
SRR8615415	Hs_281.T	carcinoma
SRR8615416	Hs_274.T	carcinoma
SRR8615418	Hs_606.T	carcinoma
SRR8615421	Hs_343.T	carcinoma
SRR8615445	NIH:OVCAR-3	carcinoma
SRR8615450	NUGC-3	carcinoma
SRR8615480	L3.3	carcinoma
SRR8615514	OAW42	carcinoma
SRR8615559	JMSU-1	carcinoma
SRR8615565	SNU-1196	carcinoma
SRR8615571	SNU-1079	carcinoma
SRR8615573	SNU-1033	carcinoma
SRR8615575	SNU-1041	carcinoma
SRR8615576	SNU-1040	carcinoma
SRR8615577	MDA-MB-453	carcinoma
SRR8615578	MDA-MB-468	carcinoma
SRR8615581	MDA-MB-361	carcinoma
SRR8615582	MDA-MB-415	carcinoma
SRR8615584	MDA-MB-436	carcinoma
SRR8615596	RERF-GC-1B	carcinoma
SRR8615651	SNU-478	carcinoma
SRR8615653	SNU-503	carcinoma
SRR8615658	SNU-520	carcinoma
SRR8615663	HuH28	carcinoma
SRR8615665	HuG1-N	carcinoma
SRR8615666	HuCCT1	carcinoma
SRR8615668	HUP-T4	carcinoma
SRR8615669	HUP-T3	carcinoma
SRR8615672	TGBC11TKB	carcinoma
SRR8615677	SK-BR-3	carcinoma
SRR8615721	TUHR10TKB	carcinoma
SRR8615744	SH-10-TC	carcinoma
SRR8615758	MCF7	carcinoma
SRR8615765	Panc_04.03	carcinoma
SRR8615767	MDA-MB-231	carcinoma
SRR8615769	BFTC-909	carcinoma
SRR8615771	BEN	carcinoma
SRR8615774	AU565	carcinoma
SRR8615783	Hs_675.T	carcinoma
SRR8615791	Hs_739.T	carcinoma
SRR8615870	OVCAR-4	carcinoma
SRR8615871	OVCAR-8	carcinoma
SRR8615873	OV7	carcinoma
SRR8615876	OV56	carcinoma
SRR8615894	TUHR4TKB	carcinoma
SRR8615909	KMBC-2	carcinoma
SRR8615931	SNU-213	carcinoma
SRR8615935	SNU-175	carcinoma
SRR8615938	SNU-1197	carcinoma
SRR8615948	COV318	carcinoma
SRR8615949	COV362	carcinoma
SRR8615951	KP-2	carcinoma
SRR8615955	COV644	carcinoma
SRR8615958	CW-2	carcinoma
SRR8615959	DAN-G	carcinoma
SRR8615969	PK-59	carcinoma
SRR8615971	QGP-1	carcinoma
SRR8615282	HCT_116	carcinoma
SRR8615295	PK-45H	carcinoma
SRR8615308	SNU-245	carcinoma
SRR8618317	VMRC-RCW	carcinoma
SRR8615720	TUHR14TKB	carcinoma
SRR8615816	HCC1428	carcinoma
SRR8615825	TCC-PAN2	carcinoma
SRR8615535	NCI-H2405	carcinoma_(adenocarcinoma)
SRR8615537	NCI-H2347	carcinoma_(adenocarcinoma)
SRR8616000	HCC-2279	carcinoma_(adenocarcinoma)
SRR8616019	A2780	carcinoma_(adenocarcinoma)
SRR8616032	HT-29	carcinoma_(adenocarcinoma)
SRR8616033	HT55	carcinoma_(adenocarcinoma)
SRR8616050	SK-LU-1	carcinoma_(adenocarcinoma)
SRR8616058	SW403	carcinoma_(adenocarcinoma)
SRR8616059	SW480	carcinoma_(adenocarcinoma)
SRR8616062	NCI-H1623	carcinoma_(adenocarcinoma)
SRR8616105	NCI-H2342	carcinoma_(adenocarcinoma)
SRR8616106	NCI-H2291	carcinoma_(adenocarcinoma)
SRR8616111	NCI-H2228	carcinoma_(adenocarcinoma)
SRR8616139	CL-11	carcinoma_(adenocarcinoma)
SRR8616141	CL-34	carcinoma_(adenocarcinoma)
SRR8616145	COLO_201	carcinoma_(adenocarcinoma)
SRR8616146	COLO-320	carcinoma_(adenocarcinoma)
SRR8616153	NCI-H716	carcinoma_(adenocarcinoma)
SRR8616155	OVSAHO	carcinoma_(adenocarcinoma)
SRR8616168	23132/87	carcinoma_(adenocarcinoma)
SRR8616178	HCC-1833	carcinoma_(adenocarcinoma)
SRR8616185	LoVo	carcinoma_(adenocarcinoma)
SRR8616187	NCI-H1563	carcinoma_(adenocarcinoma)
SRR8616189	NCI-H1573	carcinoma_(adenocarcinoma)
SRR8616200	C2BBe1	carcinoma_(adenocarcinoma)
SRR8616204	Hs_229.T	carcinoma_(adenocarcinoma)
SRR8616205	HOP-62	carcinoma_(adenocarcinoma)
SRR8615226	OE19	carcinoma_(adenocarcinoma)
SRR8615230	ONCO-DG-1	carcinoma_(adenocarcinoma)
SRR8615235	MFE-319	carcinoma_(adenocarcinoma)
SRR8615236	MFE-296	carcinoma_(adenocarcinoma)
SRR8615237	MFE-280	carcinoma_(adenocarcinoma)
SRR8615251	CCK-81	carcinoma_(adenocarcinoma)
SRR8615252	NCI-H2073	carcinoma_(adenocarcinoma)
SRR8615257	NCI-H2023	carcinoma_(adenocarcinoma)
SRR8615258	NCI-H2009	carcinoma_(adenocarcinoma)
SRR8615275	HEC-1-A	carcinoma_(adenocarcinoma)
SRR8615276	HEC-151	carcinoma_(adenocarcinoma)
SRR8615277	HEC-108	carcinoma_(adenocarcinoma)
SRR8615281	HCT-15	carcinoma_(adenocarcinoma)
SRR8615362	KATO_III	carcinoma_(adenocarcinoma)
SRR8615379	GSS	carcinoma_(adenocarcinoma)
SRR8615381	GP2d	carcinoma_(adenocarcinoma)
SRR8615389	GSU	carcinoma_(adenocarcinoma)
SRR8615392	LS513	carcinoma_(adenocarcinoma)
SRR8615393	LS411N	carcinoma_(adenocarcinoma)
SRR8615396	LS1034	carcinoma_(adenocarcinoma)
SRR8615398	LS_180	carcinoma_(adenocarcinoma)
SRR8615399	LS123	carcinoma_(adenocarcinoma)
SRR8615401	LXF-289	carcinoma_(adenocarcinoma)
SRR8615404	AGS	carcinoma_(adenocarcinoma)
SRR8615413	AN3_CA	carcinoma_(adenocarcinoma)
SRR8615417	Hs_255.T	carcinoma_(adenocarcinoma)
SRR8615438	RMUG-S	carcinoma_(adenocarcinoma)
SRR8615449	NUGC-2	carcinoma_(adenocarcinoma)
SRR8615451	HCC-56	carcinoma_(adenocarcinoma)
SRR8615455	HCC4006	carcinoma_(adenocarcinoma)
SRR8615456	HCC-44	carcinoma_(adenocarcinoma)
SRR8615459	SW620	carcinoma_(adenocarcinoma)
SRR8615460	HCC-78	carcinoma_(adenocarcinoma)
SRR8615462	NCI-H747	carcinoma_(adenocarcinoma)
SRR8615466	SNU-C5	carcinoma_(adenocarcinoma)
SRR8615475	SNU-C1	carcinoma_(adenocarcinoma)
SRR8615476	SNU-C2A	carcinoma_(adenocarcinoma)
SRR8615478	SNU-8	carcinoma_(adenocarcinoma)
SRR8615493	Ishikawa_(Heraklio)_02_ER-	carcinoma_(adenocarcinoma)
SRR8615504	SW48	carcinoma_(adenocarcinoma)
SRR8615505	SK-OV-3	carcinoma_(adenocarcinoma)
SRR8615507	Caov-3	carcinoma_(adenocarcinoma)
SRR8615508	Caov-4	carcinoma_(adenocarcinoma)
SRR8615534	Calu-3	carcinoma_(adenocarcinoma)
SRR8615547	LNCaP_clone_FGC	carcinoma_(adenocarcinoma)
SRR8615551	JHUEM-7	carcinoma_(adenocarcinoma)
SRR8615552	JHUEM-3	carcinoma_(adenocarcinoma)
SRR8615553	JHUEM-2	carcinoma_(adenocarcinoma)
SRR8615554	JHUEM-1	carcinoma_(adenocarcinoma)
SRR8615563	SW1417	carcinoma_(adenocarcinoma)
SRR8615564	SW1463	carcinoma_(adenocarcinoma)
SRR8615574	SNG-M	carcinoma_(adenocarcinoma)
SRR8615579	MDA_PCa_2b	carcinoma_(adenocarcinoma)
SRR8615580	MDST8	carcinoma_(adenocarcinoma)
SRR8615588	HEC-50B	carcinoma_(adenocarcinoma)
SRR8615593	RCM-1	carcinoma_(adenocarcinoma)
SRR8615598	RERF-LC-Ad2	carcinoma_(adenocarcinoma)
SRR8615599	RERF-LC-Ad1	carcinoma_(adenocarcinoma)
SRR8615612	NCI-H1373	carcinoma_(adenocarcinoma)
SRR8615619	SNU-C4	carcinoma_(adenocarcinoma)
SRR8615621	HEC-1-B	carcinoma_(adenocarcinoma)
SRR8615622	HEC-251	carcinoma_(adenocarcinoma)
SRR8615623	HEC-265	carcinoma_(adenocarcinoma)
SRR8615625	HEC-59	carcinoma_(adenocarcinoma)
SRR8615626	HEC-6	carcinoma_(adenocarcinoma)
SRR8615636	DV-90	carcinoma_(adenocarcinoma)
SRR8615641	PC-3	carcinoma_(adenocarcinoma)
SRR8615680	SK-CO-1	carcinoma_(adenocarcinoma)
SRR8615682	SK-HEP-1	carcinoma_(adenocarcinoma)
SRR8615698	MOR/CPR	carcinoma_(adenocarcinoma)
SRR8615753	OVKATE	carcinoma_(adenocarcinoma)
SRR8615757	MCAS	carcinoma_(adenocarcinoma)
SRR8615782	Hs_618.T	carcinoma_(adenocarcinoma)
SRR8615789	COLO_684	carcinoma_(adenocarcinoma)
SRR8615792	COLO-678	carcinoma_(adenocarcinoma)
SRR8615796	NCI-H2085	carcinoma_(adenocarcinoma)
SRR8615802	NCI-H2087	carcinoma_(adenocarcinoma)
SRR8615803	RKO	carcinoma_(adenocarcinoma)
SRR8615804	NCI-H441	carcinoma_(adenocarcinoma)
SRR8615806	NCI-H3255	carcinoma_(adenocarcinoma)
SRR8615807	NCI-H322	carcinoma_(adenocarcinoma)
SRR8615809	NCI-H508	carcinoma_(adenocarcinoma)
SRR8615839	LMSU	carcinoma_(adenocarcinoma)
SRR8615844	IGROV1	carcinoma_(adenocarcinoma)
SRR8615847	HuTu_80	carcinoma_(adenocarcinoma)
SRR8615854	SW837	carcinoma_(adenocarcinoma)
SRR8615856	SW948	carcinoma_(adenocarcinoma)
SRR8615875	OUMS-23	carcinoma_(adenocarcinoma)
SRR8615897	HCC364	carcinoma_(adenocarcinoma)
SRR8615905	NCI-H1355	carcinoma_(adenocarcinoma)
SRR8615906	KM12	carcinoma_(adenocarcinoma)
SRR8615907	KLE	carcinoma_(adenocarcinoma)
SRR8615916	JHOM-1	carcinoma_(adenocarcinoma)
SRR8615917	JHOM-2B	carcinoma_(adenocarcinoma)
SRR8615922	JHOS-2	carcinoma_(adenocarcinoma)
SRR8615923	JHOS-4	carcinoma_(adenocarcinoma)
SRR8615924	SW1116	carcinoma_(adenocarcinoma)
SRR8615939	SNU-119	carcinoma_(adenocarcinoma)
SRR8615944	NCI-H1437	carcinoma_(adenocarcinoma)
SRR8615945	NCI-H1395	carcinoma_(adenocarcinoma)
SRR8615954	NCI-H1648	carcinoma_(adenocarcinoma)
SRR8615963	COR-L105	carcinoma_(adenocarcinoma)
SRR8615978	NCI-H854	carcinoma_(adenocarcinoma)
SRR8615980	NCI-H1792	carcinoma_(adenocarcinoma)
SRR8615984	NCI-H1703	carcinoma_(adenocarcinoma)
SRR8615985	NCI-H1734	carcinoma_(adenocarcinoma)
SRR8615986	NCI-H1755	carcinoma_(adenocarcinoma)
SRR8615988	NCI-H1651	carcinoma_(adenocarcinoma)
SRR8615990	NCI-H1693	carcinoma_(adenocarcinoma)
SRR8615999	HCC-2108	carcinoma_(adenocarcinoma)
SRR8615284	HCC827	carcinoma_(adenocarcinoma)
SRR8615286	EKVX	carcinoma_(adenocarcinoma)
SRR8618305	VCaP	carcinoma_(adenocarcinoma)
SRR8615733	GCIY	carcinoma_(adenocarcinoma)
SRR8615779	Hs_698.T	carcinoma_(adenocarcinoma)
SRR8615813	NCI-H2122	carcinoma_(adenocarcinoma)
SRR8615814	NCI-H2126	carcinoma_(adenocarcinoma)
SRR8615829	T84	carcinoma_(adenocarcinoma)
SRR8615569	CAL-62	carcinoma_(anaplastic_carcinoma)
SRR8615644	8505C	carcinoma_(anaplastic_carcinoma)
SRR8615645	8305C	carcinoma_(anaplastic_carcinoma)
SRR8615892	SW579	carcinoma_(anaplastic_carcinoma)
SRR8615776	BHT-101	carcinoma_(anaplastic_carcinoma)
SRR8615484	JH-EsoAd1	carcinoma_(barrett_associated_adenocarcinoma)
SRR8615473	SNU-840	carcinoma_(Brenner_tumour)
SRR8616156	NCI-H650	carcinoma_(bronchioloalveolar_adenocarcinoma)
SRR8615805	NCI-H358	carcinoma_(bronchioloalveolar_adenocarcinoma)
SRR8615979	NCI-H1781	carcinoma_(bronchioloalveolar_adenocarcinoma)
SRR8615987	NCI-H1650	carcinoma_(bronchioloalveolar_adenocarcinoma)
SRR8615989	NCI-H1666	carcinoma_(bronchioloalveolar_adenocarcinoma)
SRR8616219	ESS-1	carcinoma_(carcinosarcoma-malignant_mesodermal_mixed_tumour)
SRR8615572	SNU-1077	carcinoma_(carcinosarcoma-malignant_mesodermal_mixed_tumour)
SRR8615992	SNU-685	carcinoma_(carcinosarcoma-malignant_mesodermal_mixed_tumour)
SRR8616092	TEN	carcinoma_(clear_cell_carcinoma)
SRR8616154	OVTOKO	carcinoma_(clear_cell_carcinoma)
SRR8616220	ES-2	carcinoma_(clear_cell_carcinoma)
SRR8615439	RMG-I	carcinoma_(clear_cell_carcinoma)
SRR8615729	TOV-21G	carcinoma_(clear_cell_carcinoma)
SRR8615879	OVISE	carcinoma_(clear_cell_carcinoma)
SRR8615915	JHOC-5	carcinoma_(clear_cell_carcinoma)
SRR8615734	OVMANA	carcinoma_(clear_cell_carcinoma)
SRR8615271	Caki-2	carcinoma_(clear_cell_renal_cell_carcinoma)
SRR8615272	Caki-1	carcinoma_(clear_cell_renal_cell_carcinoma)
SRR8615312	SNU-349	carcinoma_(clear_cell_renal_cell_carcinoma)
SRR8615332	UOK101	carcinoma_(clear_cell_renal_cell_carcinoma)
SRR8615353	KMRC-3	carcinoma_(clear_cell_renal_cell_carcinoma)
SRR8615356	KMRC-2	carcinoma_(clear_cell_renal_cell_carcinoma)
SRR8615642	786-O	carcinoma_(clear_cell_renal_cell_carcinoma)
SRR8615643	769-P	carcinoma_(clear_cell_renal_cell_carcinoma)
SRR8615860	SK-RC-20	carcinoma_(clear_cell_renal_cell_carcinoma)
SRR8615902	KMRC-1	carcinoma_(clear_cell_renal_cell_carcinoma)
SRR8615937	SNU-1272	carcinoma_(clear_cell_renal_cell_carcinoma)
SRR8615225	OCUM-1	carcinoma_(diffuse_adenocarcinoma)
SRR8615515	MKN-45	carcinoma_(diffuse_adenocarcinoma)
SRR8615735	FU97	carcinoma_(diffuse_adenocarcinoma)
SRR8616196	BT-483	carcinoma_(ductal_carcinoma,_medullary)
SRR8615756	MDA-MB-157	carcinoma_(ductal_carcinoma,_medullary)
SRR8616197	BT-549	carcinoma_(ductal_carcinoma,_papillary)
SRR8616177	HCC1806	carcinoma_(ductal_carcinoma,_squamous_cell_carcinoma)
SRR8616001	HCC2218	carcinoma_(ductal_carcinoma)
SRR8616010	T3M-4	carcinoma_(ductal_carcinoma)
SRR8616011	SUIT-2	carcinoma_(ductal_carcinoma)
SRR8616075	KP4	carcinoma_(ductal_carcinoma)
SRR8616076	KPL-1	carcinoma_(ductal_carcinoma)
SRR8616124	BT-20	carcinoma_(ductal_carcinoma)
SRR8616174	HCC1954	carcinoma_(ductal_carcinoma)
SRR8616175	HCC202	carcinoma_(ductal_carcinoma)
SRR8616179	HCC1937	carcinoma_(ductal_carcinoma)
SRR8616180	HCC1500	carcinoma_(ductal_carcinoma)
SRR8616183	HCC1599	carcinoma_(ductal_carcinoma)
SRR8616195	BT-474	carcinoma_(ductal_carcinoma)
SRR8616199	BxPC-3	carcinoma_(ductal_carcinoma)
SRR8616209	HPAF-II	carcinoma_(ductal_carcinoma)
SRR8616212	HPAC	carcinoma_(ductal_carcinoma)
SRR8615246	Capan-2	carcinoma_(ductal_carcinoma)
SRR8615247	Capan-1	carcinoma_(ductal_carcinoma)
SRR8615250	CFPAC-1	carcinoma_(ductal_carcinoma)
SRR8615268	CAL-148	carcinoma_(ductal_carcinoma)
SRR8615278	HDQ-P1	carcinoma_(ductal_carcinoma)
SRR8618301	ZR-75-1	carcinoma_(ductal_carcinoma)
SRR8618304	ZR-75-30	carcinoma_(ductal_carcinoma)
SRR8615320	Hs_766T	carcinoma_(ductal_carcinoma)
SRR8615337	UACC-893	carcinoma_(ductal_carcinoma)
SRR8615338	UACC-812	carcinoma_(ductal_carcinoma)
SRR8615359	PA-TU-8988T	carcinoma_(ductal_carcinoma)
SRR8615371	Panc_08.13	carcinoma_(ductal_carcinoma)
SRR8615375	SU.86.86	carcinoma_(ductal_carcinoma)
SRR8615377	Panc_10.05	carcinoma_(ductal_carcinoma)
SRR8615412	AsPC-1	carcinoma_(ductal_carcinoma)
SRR8615420	Hs_578T	carcinoma_(ductal_carcinoma)
SRR8615436	Panc_03.27	carcinoma_(ductal_carcinoma)
SRR8615452	HCC70	carcinoma_(ductal_carcinoma)
SRR8615458	HCC38	carcinoma_(ductal_carcinoma)
SRR8615519	MIA_PaCa-2	carcinoma_(ductal_carcinoma)
SRR8615558	JIMT-1	carcinoma_(ductal_carcinoma)
SRR8615568	SW_1990	carcinoma_(ductal_carcinoma)
SRR8615685	PANC-1	carcinoma_(ductal_carcinoma)
SRR8615691	PA-TU-8902	carcinoma_(ductal_carcinoma)
SRR8615755	MDA-MB-134-VI	carcinoma_(ductal_carcinoma)
SRR8615795	PA-TU-8988S	carcinoma_(ductal_carcinoma)
SRR8615891	HCC2157	carcinoma_(ductal_carcinoma)
SRR8615950	KP-3	carcinoma_(ductal_carcinoma)
SRR8615974	PSN1	carcinoma_(ductal_carcinoma)
SRR8615289	EFM-19	carcinoma_(ductal_carcinoma)
SRR8615297	DU4475	carcinoma_(ductal_carcinoma)
SRR8615812	T-47D	carcinoma_(ductal_carcinoma)
SRR8615817	HCC1187	carcinoma_(ductal_carcinoma)
SRR8615819	HCC1143	carcinoma_(ductal_carcinoma)
SRR8615821	HCC1419	carcinoma_(ductal_carcinoma)
SRR8615822	HCC1395	carcinoma_(ductal_carcinoma)
SRR8616085	TOV-112D	carcinoma_(endometrioid_carcinoma)
SRR8615880	OVK18	carcinoma_(endometrioid_carcinoma)
SRR8616067	ML-1	carcinoma_(follicular_carcinoma)
SRR8615728	TT2609-C02	carcinoma_(follicular_carcinoma)
SRR8615868	FTC-238	carcinoma_(follicular_carcinoma)
SRR8615869	FTC-133	carcinoma_(follicular_carcinoma)
SRR8616023	SNU-761	carcinoma_(hepatocellular_carcinoma)
SRR8616129	Hep_G2	carcinoma_(hepatocellular_carcinoma)
SRR8616130	Hep_3B2.1-7	carcinoma_(hepatocellular_carcinoma)
SRR8616135	HLF	carcinoma_(hepatocellular_carcinoma)
SRR8615311	SNU-387	carcinoma_(hepatocellular_carcinoma)
SRR8615387	Li-7	carcinoma_(hepatocellular_carcinoma)
SRR8615471	SNU-878	carcinoma_(hepatocellular_carcinoma)
SRR8615472	SNU-886	carcinoma_(hepatocellular_carcinoma)
SRR8615483	JHH-1	carcinoma_(hepatocellular_carcinoma)
SRR8615650	SNU-475	carcinoma_(hepatocellular_carcinoma)
SRR8615654	SNU-423	carcinoma_(hepatocellular_carcinoma)
SRR8615655	SNU-449	carcinoma_(hepatocellular_carcinoma)
SRR8615661	HuH-7	carcinoma_(hepatocellular_carcinoma)
SRR8615664	huH-1	carcinoma_(hepatocellular_carcinoma)
SRR8615914	JHH-7	carcinoma_(hepatocellular_carcinoma)
SRR8615918	JHH-2	carcinoma_(hepatocellular_carcinoma)
SRR8615919	JHH-4	carcinoma_(hepatocellular_carcinoma)
SRR8615920	JHH-5	carcinoma_(hepatocellular_carcinoma)
SRR8615921	JHH-6	carcinoma_(hepatocellular_carcinoma)
SRR8615932	SNU-182	carcinoma_(hepatocellular_carcinoma)
SRR8615968	PLC/PRF/5	carcinoma_(hepatocellular_carcinoma)
SRR8615310	SNU-398	carcinoma_(hepatocellular_carcinoma)
SRR8615841	IM95	carcinoma_(intestinal_adenocarcinoma)
SRR8616115	LCLC-103H	carcinoma_(large_cell_carcinoma)
SRR8616158	NCI-H661	carcinoma_(large_cell_carcinoma)
SRR8616192	NCI-H1581	carcinoma_(large_cell_carcinoma)
SRR8616206	HOP-92	carcinoma_(large_cell_carcinoma)
SRR8615394	LU99	carcinoma_(large_cell_carcinoma)
SRR8615425	COR-L23	carcinoma_(large_cell_carcinoma)
SRR8615600	NCI-H1155	carcinoma_(large_cell_carcinoma)
SRR8615613	NCI-H1915	carcinoma_(large_cell_carcinoma)
SRR8615810	NCI-H460	carcinoma_(large_cell_carcinoma)
SRR8615848	IA-LM	carcinoma_(large_cell_carcinoma)
SRR8615857	T3M-10	carcinoma_(large_cell_carcinoma)
SRR8615982	NCI-H810	carcinoma_(large_cell_carcinoma)
SRR8615719	LCLC-97TM1	carcinoma_(large_cell_carcinoma)
SRR8615815	HCC-1438	carcinoma_(large_cell_carcinoma)
SRR8615823	HCC-1359	carcinoma_(large_cell_carcinoma)
SRR8615726	TT	carcinoma_(medullary_carcinoma)
SRR8616181	HCC1569	carcinoma_(metaplastic_carcinoma)
SRR8616162	NCI-H596	carcinoma_(mixed_adenosquamous_carcinoma)
SRR8616163	NCI-H647	carcinoma_(mixed_adenosquamous_carcinoma)
SRR8615457	HCC-366	carcinoma_(mixed_adenosquamous_carcinoma)
SRR8615518	MKN1	carcinoma_(mixed_adenosquamous_carcinoma)
SRR8615743	RL95-2	carcinoma_(mixed_adenosquamous_carcinoma)
SRR8615874	OV-90	carcinoma_(mixed_carcinoma)
SRR8615287	EFO-27	carcinoma_(mucinous_carcinoma)
SRR8615529	NCI-H292	carcinoma_(mucoepidermoid_carcinoma)
SRR8616018	A-253	carcinoma_(mucoepidermoid_carcinoma)
SRR8618308	YD-15	carcinoma_(mucoepidermoid_carcinoma)
SRR8615536	NCI-H2444	carcinoma_(non_small_cell_carcinoma)
SRR8615538	NCI-H23	carcinoma_(non_small_cell_carcinoma)
SRR8616017	A549	carcinoma_(non_small_cell_carcinoma)
SRR8616110	NCI-H2172	carcinoma_(non_small_cell_carcinoma)
SRR8616190	NCI-H1568	carcinoma_(non_small_cell_carcinoma)
SRR8615255	NCI-H2030	carcinoma_(non_small_cell_carcinoma)
SRR8615260	NCI-H1975	carcinoma_(non_small_cell_carcinoma)
SRR8615269	CAL-12T	carcinoma_(non_small_cell_carcinoma)
SRR8615395	LU65	carcinoma_(non_small_cell_carcinoma)
SRR8615407	ABC-1	carcinoma_(non_small_cell_carcinoma)
SRR8615461	HCC827_GR5	carcinoma_(non_small_cell_carcinoma)
SRR8615589	NCI-H1435	carcinoma_(non_small_cell_carcinoma)
SRR8615590	RERF-LC-KJ	carcinoma_(non_small_cell_carcinoma)
SRR8615603	NCI-H1944	carcinoma_(non_small_cell_carcinoma)
SRR8615605	NCI-H2106	carcinoma_(non_small_cell_carcinoma)
SRR8615606	NCI-H2110	carcinoma_(non_small_cell_carcinoma)
SRR8615608	NCI-H1838	carcinoma_(non_small_cell_carcinoma)
SRR8615611	NCI-H1793	carcinoma_(non_small_cell_carcinoma)
SRR8615640	PC-14	carcinoma_(non_small_cell_carcinoma)
SRR8615798	NCI-H522	carcinoma_(non_small_cell_carcinoma)
SRR8615898	NCI-H1299	carcinoma_(non_small_cell_carcinoma)
SRR8615976	NCI-H838	carcinoma_(non_small_cell_carcinoma)
SRR8615993	RERF-LC-MS	carcinoma_(non_small_cell_carcinoma)
SRR8615996	HCC2935	carcinoma_(non_small_cell_carcinoma)
SRR8615818	HCC-1171	carcinoma_(non_small_cell_carcinoma)
SRR8615773	B-CPAP	carcinoma_(papillary_carcinoma)
SRR8616013	A-704	carcinoma_(renal_cell_carcinoma)
SRR8616015	A-498	carcinoma_(renal_cell_carcinoma)
SRR8615333	UO-31	carcinoma_(renal_cell_carcinoma)
SRR8615355	KMRC-20	carcinoma_(renal_cell_carcinoma)
SRR8615405	ACHN	carcinoma_(renal_cell_carcinoma)
SRR8615851	SLR_26	carcinoma_(renal_cell_carcinoma)
SRR8615862	SLR_20	carcinoma_(renal_cell_carcinoma)
SRR8615863	SLR_21	carcinoma_(renal_cell_carcinoma)
SRR8615864	SLR_23	carcinoma_(renal_cell_carcinoma)
SRR8615865	SLR_24	carcinoma_(renal_cell_carcinoma)
SRR8615866	SLR_25	carcinoma_(renal_cell_carcinoma)
SRR8615878	OS-RC-2	carcinoma_(renal_cell_carcinoma)
SRR8615964	RCC10RGB	carcinoma_(renal_cell_carcinoma)
SRR8615315	CAL-54	carcinoma_(renal_cell_carcinoma)
SRR8618315	VMRC-RCZ	carcinoma_(renal_cell_carcinoma)
SRR8615290	EFO-21	carcinoma_(serous_carcinoma)
SRR8615513	OC_314	carcinoma_(serous_carcinoma)
SRR8615736	FU-OV-1	carcinoma_(serous_carcinoma)
SRR8616029	SNU-668	carcinoma_(signet_ring_adenocarcinoma)
SRR8615244	NUGC-4	carcinoma_(signet_ring_adenocarcinoma)
SRR8615624	ECC12	carcinoma_(small_cell_adenocarcinoma)
SRR8615633	ECC10	carcinoma_(small_cell_adenocarcinoma)
SRR8616002	DMS_114	carcinoma_(small_cell_carcinoma)
SRR8616003	DMS_153	carcinoma_(small_cell_carcinoma)
SRR8616004	DMS_273	carcinoma_(small_cell_carcinoma)
SRR8616005	DMS_454	carcinoma_(small_cell_carcinoma)
SRR8616096	SCLC-21H	carcinoma_(small_cell_carcinoma)
SRR8616102	SBC-5	carcinoma_(small_cell_carcinoma)
SRR8616107	NCI-H2171	carcinoma_(small_cell_carcinoma)
SRR8616109	NCI-H2196	carcinoma_(small_cell_carcinoma)
SRR8616112	NCI-H2227	carcinoma_(small_cell_carcinoma)
SRR8616113	NCI-H2286	carcinoma_(small_cell_carcinoma)
SRR8616152	NCI-H69	carcinoma_(small_cell_carcinoma)
SRR8616157	NCI-H660	carcinoma_(small_cell_carcinoma)
SRR8616160	NCI-H524	carcinoma_(small_cell_carcinoma)
SRR8616161	NCI-H526	carcinoma_(small_cell_carcinoma)
SRR8616188	NCI-H146	carcinoma_(small_cell_carcinoma)
SRR8616191	NCI-H1618	carcinoma_(small_cell_carcinoma)
SRR8615245	SW_1271	carcinoma_(small_cell_carcinoma)
